input,task,time,date,task_detail
"Schedule a meeting with John tomorrow at 2 PM.","set_reminder","2:00 PM","Tomorrow","Meeting with John"
"Remind me to buy groceries on Friday at 6 PM.","set_reminder","6:00 PM","Friday","Buy groceries"
"Schedule a call with Sarah for next Monday at 10 AM.","set_reminder","10:00 AM","next Monday","Call with Sarah"
"Set a reminder to submit the project report by 5 PM tomorrow.","set_reminder","5:00 PM","tomorrow","Submit project report"
"Remind me to water the plants on Sunday morning.","set_reminder","morning","Sunday","Water plants"
"Schedule a meeting with the team for Thursday at 3:30 PM.","set_reminder","3:30 PM","Thursday","Meeting with the team"
"Remind me to call the doctor on the 15th of this month at 2 PM.","set_reminder","2:00 PM","15th of this month","Call the doctor"
"Set a reminder for the webinar on Saturday at 11 AM.","set_reminder","11:00 AM","Saturday","Webinar"
"Schedule a haircut appointment for next Friday at 2:30 PM.","set_reminder","2:30 PM","next Friday","Haircut appointment"
"Remind me to check the mail on Monday evening at 7 PM.","set_reminder","7:00 PM","Monday","Check the mail"
"Set a reminder to submit the expense report by the end of the day tomorrow.","set_reminder","end of the day","tomorrow","Submit expense report"
"Set a reminder to give dogs heartworm medication on the 15th of each month.","set_reminder","","15th of each month","Give dogs heartworm medication"
"Set an alarm to remind me to drink water every 2 hours.","set_reminder","every 2 hours","","Drink water"
"Reminder to make a dentist appointment.","set_reminder","","","Make a dentist appointment"
"Remind me to check on my pizza in 14 minutes.","set_reminder","","","Check on pizza"
"Remind me about my doctor's appointment next Wednesday on Tuesday.","set_reminder","","Tuesday","Doctor's appointment next Wednesday"
"Remind me of my meeting tonight at 7 at the EMS building.","set_reminder","7:00 PM","","Meeting tonight at EMS building"
"Repeat this reminder weekly.","set_reminder","","weekly","Repeat reminder"
"Remind me next Tuesday that I have a doctor's appointment.","set_reminder","","next Tuesday","Doctor's appointment"
"Remind me of my Doctor's appointment.","set_reminder","","","Doctor's appointment"
"Can you send me a reminder to bring my coupons with me on Thursday?","set_reminder","","Thursday","Bring coupons"
"Remind me again tomorrow.","set_reminder","","tomorrow","Remind again"
"Remind me about ordering pants for my daughter.","set_reminder","","","Order pants for daughter"
"Set a reminder alarm for 2 PM.","set_reminder","2:00 PM","","reminder alarm"
"Remind me about my dentist appointment at 2:00 PM on Wednesday.","set_reminder","2:00 PM","Wednesday","Dentist appointment"
"Remind me to pick up Raymond at 3 PM.","set_reminder","3:00 PM","","Pick up Raymond"
"Remind me about Evelyn's play on Tuesday at 6 PM.","set_reminder","6:00 PM","Tuesday","Evelyn's play"
"Remind me to take my pills tomorrow morning.","set_reminder","morning","tomorrow","Take pills"
"Remind me an hour before my appointment.","set_reminder","","","An hour before appointment"
"Add a reminder to add washer fluid to my car.","set_reminder","","","Add washer fluid to car"
"Set a reminder called 'golf' for this Sunday at 7 AM","set_reminder","7:00 AM","Sunday","Golf"
"Remind me to pick up dry cleaning this afternoon.","set_reminder","afternoon","","Pick up dry cleaning"
"Reminder to complete the list.","set_reminder","","","Complete list"
"Add a reminder for next Sunday's event.","set_reminder","","next Sunday","event"
"Add a reminder for the dance recital on Friday at 2 PM.","set_reminder","2:00 PM","Friday","Dance recital"
"Remind me of my appointment with my insurance agent at 10 tomorrow.","set_reminder","10:00 AM","tomorrow","Insurance agent appointment"
"Remind me of my dinner reservations tonight.","set_reminder","","tonight","Dinner reservations"
"Let's set a reminder tomorrow that it's a week until payday.","set_reminder","","tomorrow","A week until payday"
"I need to go grocery shopping after work, please put this on the calendar and remind me at 6 PM today.","set_reminder","6:00 PM","today","Go grocery shopping after work"
"Remind me every hour until I cancel.","set_reminder","every hour","",""
"Please remind me what time the movie starts tomorrow.","set_reminder","","tomorrow","What time the movie starts"
"Remind me to pick up bread today.","set_reminder","","today","Pick up bread"
"Add a reminder to cancel HBO on 9/23/17.","set_reminder","","9/23/17","Cancel HBO"
"Remind me about my date tomorrow at 3 PM.","set_reminder","3:00 PM","tomorrow","Date"
"Remind me of my doctor's appointment at 10:15 on Wednesday.","set_reminder","10:15 AM","Wednesday","Doctor's appointment"
"Add a reminder to buy eggs tomorrow morning.","set_reminder","morning","tomorrow","Buy eggs"
"Add a reminder to go to the mechanic on Monday at 11:00 AM.","set_reminder","11:00 AM","Monday","Go to mechanic"
"Schedule a reminder for tomorrow.","set_reminder","","tomorrow",""
"Enable reminder.","set_reminder","","","Enable reminder"
"Remind me I have a doctor appointment at 9.","set_reminder","9:00 AM","","Doctor appointment"
"Remind me of my appointments tomorrow.","set_reminder","","tomorrow","Appointments"
"Remind me to buy milk at Safeway after August 25th.","set_reminder","","August 25th","Buy milk at Safeway"
"Remind me to take my dog out at 5:30.","set_reminder","5:30 PM","","Take dog out"
"Remind me when Game of Thrones comes back on air.","set_reminder","","","Game of Thrones comeback"
"Add a reminder to go work out today.","set_reminder","","today","Go work out"
"Remind me of the meeting today.","set_reminder","","today","Meeting"
"Remind me to buy milk for tomorrow.","set_reminder","","tomorrow","Buy milk for tomorrow"
"Weekly reminder to take out trash.","set_reminder","","Weekly","Take out trash"
"Remind me when I'm at the store to buy pickles.","set_reminder","","","Buy pickles"
"Remind me 24 hours before my anniversary.","set_reminder","24 hours","anniversary",""
"Games of Thrones reminder.","set_reminder","","","Games of Thrones"
"Remind me of the dog's grooming appointment tomorrow at 10 AM.","set_reminder","10:00 AM","tomorrow","Dog's grooming appointment"
"I need to get milk for the store. Please set a reminder.","set_reminder","","","Get milk for the store"
"Remind me to buy eggs at Acme this weekend.","set_reminder","","weekend","Buy eggs at Acme"
"Add a reminder to pick up milk.","set_reminder","","","Pick up milk"
"Remind me of my doctor's appointment on Monday at 10 AM.","set_reminder","10:00 AM","Monday","Doctor's appointment"
"Remind me to cancel the doctor's appointment on Monday morning.","set_reminder","morning","Monday","Cancel doctor's appointment"
"Remind me of the conference call Friday.","set_reminder","","Friday","Conference call"
"Remind me to email my boss.","set_reminder","","","Email boss"
"Add a reminder to buy a present for my niece for Saturday.","set_reminder","","Saturday","Buy present for niece"
"Remind me of my appointment tomorrow at 4:30.","set_reminder","4:30 PM","tomorrow","Appointment at 4:30"
"Remind me of my appointment tomorrow at 9 AM.","set_reminder","9:00 AM","tomorrow","Appointment"
"Remind me about dinner with Tom.","set_reminder","","","Dinner with Tom"
"Remind me about Tony's birthday next week.","set_reminder","","next week","Tony's birthday"
"Remind me to add shoes to Amazon order.","set_reminder","","","Add shoes to Amazon order"
"Remind me to get gas on my way home.","set_reminder","","","Get gas on the way home"
"Remind me tomorrow about my dentist appointment.","set_reminder","","tomorrow","Dentist appointment"
"Add a reminder for daily exercise.","set_reminder","","daily","Daily exercise"
"Remind me to charge the battery at 15%.","set_reminder","","","Charge battery at 15%"
"Repeat dog walk reminder each day.","set_reminder","","daily","Dog walk reminder"
"Remind me to call my daughter, please.","set_reminder","","","Call daughter"
"Remind me to start a timer in twenty minutes.","set_reminder","twenty minutes","","Start timer"
"Please remind me to set an alarm.","set_reminder","","","Set an alarm"
"Remind me to set my alarm for 8 AM on Sunday.","set_reminder","8:00 AM","Sunday","Set alarm for 8 AM"
"Remind me of my dentist appointment tomorrow.","set_reminder","","tomorrow","Dentist appointment"
"Remind me about dentist appointment.","set_reminder","","","Dentist appointment"
"Send a reminder about Mel's birthday on Wednesday.","set_reminder","","Wednesday","Mel's birthday"
"Add dentist to Monday reminder.","set_reminder","","Monday","Dentist"
"Remind me to fill my gas at the end of the day when I get out of work at 6 PM.","set_reminder","6:00 PM","","Fill gas at end of day"
"Add a reminder.","set_reminder","","","Add a reminder"
"Remind me to call the pharmacy in the morning.","set_reminder","","morning","Call the pharmacy"
"Create new alarm reminder for groceries.","set_reminder","","","Groceries"
"Remind me of a doctor's appointment on Friday at 2:30 PM.","set_reminder","2:30 PM","Friday","Doctor's appointment"
"Remind me to go to my doctor appointment 2 hours before I need to be there.","set_reminder","","","Go to doctor appointment 2 hours before"
"Set an additional reminder.","set_reminder","","","Additional reminder"
"Remind me to set an alarm for tomorrow morning.","set_reminder","morning","tomorrow","Set alarm for tomorrow morning"
"Add a reminder for 8 AM meeting on Wednesday.","set_reminder","8:00 AM","Wednesday","8 AM meeting"
"Add reminder to send flowers to grandmother next week for birthday.","set_reminder","","next week","Send flowers to grandmother for birthday"
"Schedule a meeting with John tomorrow at 2 PM.","set_reminder","2:00 PM","Tomorrow","Meeting with John"
"Remind me to buy groceries on Friday at 6 PM.","set_reminder","6:00 PM","Friday","Buy groceries"
"Schedule a call with Sarah for next Monday at 10 AM.","set_reminder","10:00 AM","next Monday","Call with Sarah"
"Set a reminder to submit the project report by 5 PM tomorrow.","set_reminder","5:00 PM","tomorrow","Submit project report"
"Remind me to water the plants on Sunday morning.","set_reminder","morning","Sunday","Water plants"
"Schedule a meeting with the team for Thursday at 3:30 PM.","set_reminder","3:30 PM","Thursday","Meeting with the team"
"Remind me to call the doctor on the 15th of this month at 2 PM.","set_reminder","2:00 PM","15th of this month","Call the doctor"
"Set a reminder for the webinar on Saturday at 11 AM.","set_reminder","11:00 AM","Saturday","Webinar"
"Schedule a haircut appointment for next Friday at 2:30 PM.","set_reminder","2:30 PM","next Friday","Haircut appointment"
"Remind me to check the mail on Monday evening at 7 PM.","set_reminder","7:00 PM","Monday","Check the mail"
"Set a reminder to pay bills on the 28th of this month at 9 AM.","set_reminder","9:00 AM","28th of this month","Pay bills"
"Schedule a dentist appointment for next Tuesday at 11:30 AM.","set_reminder","11:30 AM","next Tuesday","Dentist appointment"
"Remind me to send the report by midnight tonight.","set_reminder","midnight","tonight","Send the report"
"Set a reminder for the team meeting on Thursday at 10:30 AM.","set_reminder","10:30 AM","Thursday","Team meeting"
"Schedule a grocery shopping trip for Saturday afternoon.","set_reminder","afternoon","Saturday","Grocery shopping"
"Remind me to call Mom on her birthday next month at 10 AM.","set_reminder","10:00 AM","next month","Call Mom on her birthday"
"Set a reminder for the doctor's appointment on the 3rd of next month at 3 PM.","set_reminder","3:00 PM","3rd of next month","Doctor's appointment"
"Schedule a conference call with the client for Monday morning at 9:30 AM.","set_reminder","9:30 AM","Monday","Conference call with client"
"Remind me to water the garden every Monday and Thursday evening.","set_reminder","evening","Monday and Thursday","Water garden"
"Set a reminder to exercise every morning at 6 AM.","set_reminder","6:00 AM","every morning","Exercise"
"Remind me to call the dentist tomorrow at 9 AM.","set_reminder","9:00 AM","tomorrow","Call the dentist"
"Schedule a team brainstorming session for next Wednesday at 3 PM.","set_reminder","3:00 PM","next Wednesday","Team brainstorming session"
"Remind me to take out the trash on Monday evening.","set_reminder","evening","Monday","Take out the trash"
"Schedule a doctor's appointment for next Tuesday morning at 10:30 AM.","set_reminder","10:30 AM","next Tuesday","Doctor's appointment"
"Remind me to call my sister next Thursday at 7 PM.","set_reminder","7:00 PM","next Thursday","Call my sister"
"Set a reminder to pay rent on the 1st of next month at noon.","set_reminder","noon","1st of next month","Pay rent"
"Remind me to buy a birthday gift for John on the 10th of February.","set_reminder","","10th of February","Buy birthday gift for John"
"Schedule a client presentation for next Monday at 10:30 AM.","set_reminder","10:30 AM","next Monday","Client presentation"
"Remind me to water the flowers every morning.","set_reminder","every morning","","Water the flowers"
"Set a reminder to submit the expense report by the end of the day on Friday.","set_reminder","end of the day","Friday","Submit expense report"
"Remind me to call the insurance company next Tuesday at 2 PM.","set_reminder","2:00 PM","next Tuesday","Call the insurance company"
"Set a reminder for the annual performance review on March 15th at 3 PM.","set_reminder","3:00 PM","March 15th","Annual performance review"
"Set a reminder to buy groceries on the 15th of this month at 6 PM.","set_reminder","6:00 PM","15th of this month","Buy groceries"
"Set a reminder to call John on the 20th of this month at 2 PM.","set_reminder","2:00 PM","20th of this month","Call John"
"Set a reminder to attend meeting on the 18th of this month at 10 AM.","set_reminder","10:00 AM","18th of this month","Attend meeting"
"Set a reminder to visit the doctor on the 22nd of this month at 4 PM.","set_reminder","4:00 PM","22nd of this month","Visit the doctor"
"Set a reminder to finish the report on the 30th of this month at 8 PM.","set_reminder","8:00 PM","30th of this month","Finish the report"
"Set a reminder to do laundry on Saturday at 10 AM.","set_reminder","10:00 AM","Saturday","Do laundry"
"Remind me to pick up the kids from school tomorrow at 3 PM.","set_reminder","3:00 PM","Tomorrow","Pick up kids from school"
"Schedule a lunch with Mary for next Tuesday at 1 PM.","set_reminder","1:00 PM","next Tuesday","Lunch with Mary"
"Set a reminder to pay the electricity bill by 6 PM today.","set_reminder","6:00 PM","Today","Pay electricity bill"
"Remind me to feed the fish on Monday morning.","set_reminder","morning","Monday","Feed the fish"
"Schedule a conference call for Wednesday at 2:30 PM.","set_reminder","2:30 PM","Wednesday","Conference call"
"Remind me to book flight tickets on the 20th of this month at 12 PM.","set_reminder","12:00 PM","20th of this month","Book flight tickets"
"Set a reminder for the yoga class on Sunday at 9 AM.","set_reminder","9:00 AM","Sunday","Yoga class"
"Schedule a car service appointment for next Friday at 10:30 AM.","set_reminder","10:30 AM","next Friday","Car service appointment"
"Remind me to send the birthday card on Thursday evening at 8 PM.","set_reminder","8:00 PM","Thursday","Send birthday card"
"Set a reminder to renew the insurance by the end of the day today.","set_reminder","end of the day","Today","Renew insurance"
"Set a reminder to take medicine every day at 9 AM.","set_reminder","9:00 AM","Every day","Take medicine"
"Set an alarm to remind me to stretch every hour.","set_reminder","every hour","","Stretch"
"Reminder to schedule a vet appointment.","set_reminder","","","Schedule vet appointment"
"Remind me to turn off the oven in 30 minutes.","set_reminder","","","Turn off oven"
"Remind me about my interview next Tuesday on Monday.","set_reminder","","Monday","Interview next Tuesday"
"Remind me of my dinner reservation tonight at 8 at the Italian restaurant.","set_reminder","8:00 PM","","Dinner reservation tonight at Italian restaurant"
"Set a reminder to clean the house on Sunday at 11 AM.","set_reminder","11:00 AM","Sunday","Clean the house"
"Remind me to buy a birthday gift for John on the 18th of this month at 3 PM.","set_reminder","3:00 PM","18th of this month","Buy birthday gift for John"
"Schedule a dinner with Alice for next Saturday at 7 PM.","set_reminder","7:00 PM","next Saturday","Dinner with Alice"
"Set a reminder to pay the internet bill by 5 PM today.","set_reminder","5:00 PM","Today","Pay internet bill"
"Remind me to water the garden on Monday morning.","set_reminder","morning","Monday","Water the garden"
"Schedule a business meeting for Tuesday at 2:30 PM.","set_reminder","2:30 PM","Tuesday","Business meeting"
"Set a reminder to buy milk on the 10th of this month at 5 PM.","set_reminder","5:00 PM","10th of this month","Buy milk"
"Remind me to call Mike on the 12th of this month at 3 PM.","set_reminder","3:00 PM","12th of this month","Call Mike"
"Schedule a lunch with Lisa for next Wednesday at 1 PM.","set_reminder","1:00 PM","next Wednesday","Lunch with Lisa"
"Set a reminder to pay the credit card bill by 6 PM today.","set_reminder","6:00 PM","Today","Pay credit card bill"
"Remind me to feed the cat on Monday morning.","set_reminder","morning","Monday","Feed the cat"
"Schedule a project review meeting for Thursday at 2:30 PM.","set_reminder","2:30 PM","Thursday","Project review meeting"
"Remind me to book hotel for the trip on the 20th of this month at 12 PM.","set_reminder","12:00 PM","20th of this month","Book hotel for trip"
"Set a reminder for the gym class on Sunday at 9 AM.","set_reminder","9:00 AM","Sunday","Gym class"
"Schedule a dentist appointment for next Friday at 10:30 AM.","set_reminder","10:30 AM","next Friday","Dentist appointment"
"Remind me to send the parcel on Thursday evening at 8 PM.","set_reminder","8:00 PM","Thursday","Send parcel"
"Set a reminder to wash the car on Saturday at 10 AM.","set_reminder","10:00 AM","Saturday","Wash the car"
